Algorithm,City count,Seed,Best distance,Runtime,Number of evaluations,Final route,History file
ILS,10,42,290.3067737918128,0.88864889999968,100000,"[5, 3, 8, 2, 7, 9, 6, 1, 4, 0]",histories/ILS_10_cities_seed_42.json.gz
GA,10,42,290.3067737918128,11.181425599999784,100000,"[0, 4, 1, 6, 9, 7, 2, 8, 3, 5]",histories/GA_10_cities_seed_42.json.gz
GA,10,43,290.30677379181276,8.499869999999646,100000,"[2, 8, 3, 5, 0, 4, 1, 6, 9, 7]",histories/GA_10_cities_seed_43.json.gz
ILS,10,43,290.3067737918128,0.8997918000022764,100000,"[2, 7, 9, 6, 1, 4, 0, 5, 3, 8]",histories/ILS_10_cities_seed_43.json.gz
ILS,10,44,290.3067737918128,1.1093547999989823,100000,"[3, 5, 0, 4, 1, 6, 9, 7, 2, 8]",histories/ILS_10_cities_seed_44.json.gz
GA,10,44,290.3067737918128,8.744695099994715,100000,"[5, 0, 4, 1, 6, 9, 7, 2, 8, 3]",histories/GA_10_cities_seed_44.json.gz
GA,10,45,290.30677379181276,7.904989200003911,100000,"[2, 8, 3, 5, 0, 4, 1, 6, 9, 7]",histories/GA_10_cities_seed_45.json.gz
ILS,10,45,290.3067737918128,0.6957328999997117,100000,"[9, 6, 1, 4, 0, 5, 3, 8, 2, 7]",histories/ILS_10_cities_seed_45.json.gz
ILS,10,46,290.3067737918128,0.9268074999999953,100000,"[2, 7, 9, 6, 1, 4, 0, 5, 3, 8]",histories/ILS_10_cities_seed_46.json.gz
GA,10,46,290.3067737918128,10.777555000000575,100000,"[5, 0, 4, 1, 6, 9, 7, 2, 8, 3]",histories/GA_10_cities_seed_46.json.gz
GA,10,47,290.3067737918128,12.044562600000063,100000,"[5, 3, 8, 2, 7, 9, 6, 1, 4, 0]",histories/GA_10_cities_seed_47.json.gz
ILS,10,47,290.3067737918128,0.944627800003218,100000,"[7, 2, 8, 3, 5, 0, 4, 1, 6, 9]",histories/ILS_10_cities_seed_47.json.gz
ILS,10,48,290.3067737918128,1.9129757999980939,100000,"[5, 3, 8, 2, 7, 9, 6, 1, 4, 0]",histories/ILS_10_cities_seed_48.json.gz
GA,10,48,290.3067737918128,13.43238030000066,100000,"[1, 4, 0, 5, 3, 8, 2, 7, 9, 6]",histories/GA_10_cities_seed_48.json.gz
GA,10,49,290.30677379181276,9.651846699998714,100000,"[2, 8, 3, 5, 0, 4, 1, 6, 9, 7]",histories/GA_10_cities_seed_49.json.gz
ILS,10,49,290.3067737918128,0.677364299997862,100000,"[5, 3, 8, 2, 7, 9, 6, 1, 4, 0]",histories/ILS_10_cities_seed_49.json.gz
ILS,10,50,290.3067737918128,1.87956220000342,100000,"[3, 8, 2, 7, 9, 6, 1, 4, 0, 5]",histories/ILS_10_cities_seed_50.json.gz
GA,10,50,290.30677379181276,10.866200099997513,100000,"[2, 8, 3, 5, 0, 4, 1, 6, 9, 7]",histories/GA_10_cities_seed_50.json.gz
GA,10,51,290.30677379181276,10.229027200002747,100000,"[2, 8, 3, 5, 0, 4, 1, 6, 9, 7]",histories/GA_10_cities_seed_51.json.gz
ILS,10,51,290.3067737918129,0.87019760000112,100000,"[1, 6, 9, 7, 2, 8, 3, 5, 0, 4]",histories/ILS_10_cities_seed_51.json.gz
GA,20,42,386.6266770171124,19.936142900005507,100000,"[10, 15, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3, 13, 8, 11, 9, 7, 2, 18, 14]",histories/GA_20_cities_seed_42.json.gz
ILS,20,42,386.42968948346993,3.538331100004143,100000,"[15, 10, 14, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3, 13, 8, 11, 7, 2, 18, 9]",histories/ILS_20_cities_seed_42.json.gz
ILS,20,43,386.42968948347,4.361747300004936,100000,"[17, 1, 19, 6, 14, 10, 15, 9, 18, 2, 7, 11, 8, 13, 3, 5, 16, 0, 12, 4]",histories/ILS_20_cities_seed_43.json.gz
GA,20,43,386.6266770171124,14.85690379999869,100000,"[10, 15, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3, 13, 8, 11, 9, 7, 2, 18, 14]",histories/GA_20_cities_seed_43.json.gz
GA,20,44,386.6266770171124,12.279269899998326,100000,"[8, 13, 3, 5, 16, 0, 12, 4, 17, 1, 19, 6, 15, 10, 14, 18, 2, 7, 9, 11]",histories/GA_20_cities_seed_44.json.gz
ILS,20,44,386.42968948347004,1.9624610000028042,100000,"[13, 8, 11, 7, 2, 18, 9, 15, 10, 14, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3]",histories/ILS_20_cities_seed_44.json.gz
ILS,20,45,386.42968948347004,2.8813204999969457,100000,"[11, 7, 2, 18, 9, 15, 10, 14, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3, 13, 8]",histories/ILS_20_cities_seed_45.json.gz
GA,20,45,386.6266770171124,12.150525299999572,100000,"[14, 10, 15, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3, 13, 8, 11, 9, 7, 2, 18]",histories/GA_20_cities_seed_45.json.gz
GA,20,46,438.1616464918015,14.814567800000077,100000,"[9, 19, 6, 15, 10, 14, 18, 2, 7, 13, 3, 5, 16, 0, 12, 4, 17, 1, 8, 11]",histories/GA_20_cities_seed_46.json.gz
ILS,20,46,386.42968948347004,2.198731199998292,100000,"[18, 2, 7, 11, 8, 13, 3, 5, 16, 0, 12, 4, 17, 1, 19, 6, 14, 10, 15, 9]",histories/ILS_20_cities_seed_46.json.gz
ILS,20,47,386.42968948347004,3.321438800005126,100000,"[6, 19, 1, 17, 4, 12, 0, 16, 5, 3, 13, 8, 11, 7, 2, 18, 9, 15, 10, 14]",histories/ILS_20_cities_seed_47.json.gz
GA,20,47,386.6266770171124,12.942706499998167,100000,"[10, 15, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3, 13, 8, 11, 9, 7, 2, 18, 14]",histories/GA_20_cities_seed_47.json.gz
GA,20,48,386.42968948347004,11.771877300001506,100000,"[4, 17, 1, 19, 6, 14, 10, 15, 9, 18, 2, 7, 11, 8, 13, 3, 5, 16, 0, 12]",histories/GA_20_cities_seed_48.json.gz
ILS,20,48,386.42968948347004,1.8078066000016406,100000,"[12, 4, 17, 1, 19, 6, 14, 10, 15, 9, 18, 2, 7, 11, 8, 13, 3, 5, 16, 0]",histories/ILS_20_cities_seed_48.json.gz
ILS,20,49,386.42968948347004,2.5469970000049216,100000,"[13, 8, 11, 7, 2, 18, 9, 15, 10, 14, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3]",histories/ILS_20_cities_seed_49.json.gz
GA,20,49,386.42968948347,12.377745500001765,100000,"[16, 5, 3, 13, 8, 11, 7, 2, 18, 9, 15, 10, 14, 6, 19, 1, 17, 4, 12, 0]",histories/GA_20_cities_seed_49.json.gz
GA,20,50,386.42968948347,13.655660199998238,100000,"[17, 1, 19, 6, 14, 10, 15, 9, 18, 2, 7, 11, 8, 13, 3, 5, 16, 0, 12, 4]",histories/GA_20_cities_seed_50.json.gz
ILS,20,50,386.42968948347004,1.5018834000002244,100000,"[8, 11, 7, 2, 18, 9, 15, 10, 14, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3, 13]",histories/ILS_20_cities_seed_50.json.gz
ILS,20,51,386.42968948347004,2.5741783999983454,100000,"[18, 2, 7, 11, 8, 13, 3, 5, 16, 0, 12, 4, 17, 1, 19, 6, 14, 10, 15, 9]",histories/ILS_20_cities_seed_51.json.gz
GA,20,51,386.6266770171124,14.507074499997543,100000,"[8, 13, 3, 5, 16, 0, 12, 4, 17, 1, 19, 6, 15, 10, 14, 18, 2, 7, 9, 11]",histories/GA_20_cities_seed_51.json.gz
ILS,30,42,451.76700078489847,3.356924899999285,100000,"[29, 28, 2, 7, 18, 11, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8, 13, 20]",histories/ILS_30_cities_seed_42.json.gz
GA,30,42,459.89369112375743,17.583031699999992,100000,"[27, 26, 17, 25, 1, 19, 6, 14, 10, 15, 24, 9, 18, 7, 2, 28, 29, 11, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4]",histories/GA_30_cities_seed_42.json.gz
GA,30,43,453.9023021201497,15.236362800002098,100000,"[22, 8, 23, 11, 13, 20, 29, 28, 2, 7, 18, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3]",histories/GA_30_cities_seed_43.json.gz
ILS,30,43,451.76700078489847,3.854010600000038,100000,"[13, 20, 29, 28, 2, 7, 18, 11, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8]",histories/ILS_30_cities_seed_43.json.gz
ILS,30,44,451.7670007848985,3.336547499995504,100000,"[9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8, 13, 20, 29, 28, 2, 7, 18, 11]",histories/ILS_30_cities_seed_44.json.gz
GA,30,44,451.76700078489847,14.603310799997416,100000,"[8, 13, 20, 29, 28, 2, 7, 18, 11, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23]",histories/GA_30_cities_seed_44.json.gz
GA,30,45,460.66977041045834,13.308520099999441,100000,"[21, 3, 22, 8, 23, 11, 13, 20, 29, 28, 2, 7, 18, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 4, 12, 27, 0, 16, 5]",histories/GA_30_cities_seed_45.json.gz
ILS,30,45,451.7670007848984,3.029170099995099,100000,"[27, 26, 17, 25, 1, 19, 6, 14, 10, 15, 24, 9, 11, 18, 7, 2, 28, 29, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4]",histories/ILS_30_cities_seed_45.json.gz
ILS,30,46,451.7670007848986,3.0394009000010556,100000,"[13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4, 27, 26, 17, 25, 1, 19, 6, 14, 10, 15, 24, 9, 11, 18, 7, 2, 28, 29, 20]",histories/ILS_30_cities_seed_46.json.gz
GA,30,46,459.8936911237574,13.921603100003267,100000,"[5, 21, 3, 22, 23, 8, 13, 20, 11, 29, 28, 2, 7, 18, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16]",histories/GA_30_cities_seed_46.json.gz
GA,30,47,483.335365468356,15.460075700000743,100000,"[20, 29, 28, 2, 7, 18, 24, 15, 10, 14, 6, 19, 9, 11, 23, 8, 12, 4, 1, 25, 17, 26, 27, 0, 16, 5, 21, 3, 22, 13]",histories/GA_30_cities_seed_47.json.gz
ILS,30,47,451.7670007848986,3.594854499999201,100000,"[6, 14, 10, 15, 24, 9, 11, 18, 7, 2, 28, 29, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4, 27, 26, 17, 25, 1, 19]",histories/ILS_30_cities_seed_47.json.gz
ILS,30,48,451.7670007848986,3.3255167999959667,100000,"[6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8, 13, 20, 29, 28, 2, 7, 18, 11, 9, 24, 15, 10, 14]",histories/ILS_30_cities_seed_48.json.gz
GA,30,48,458.57131406519665,13.429815900002723,100000,"[26, 17, 25, 4, 1, 19, 6, 14, 10, 15, 24, 9, 11, 18, 7, 2, 28, 29, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 27]",histories/GA_30_cities_seed_48.json.gz
GA,30,49,459.8936911237575,14.563559800000803,100000,"[15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8, 13, 20, 11, 29, 28, 2, 7, 18, 9, 24]",histories/GA_30_cities_seed_49.json.gz
ILS,30,49,451.76700078489847,4.3543053999965196,100000,"[7, 18, 11, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8, 13, 20, 29, 28, 2]",histories/ILS_30_cities_seed_49.json.gz
