City count,Algorithm,Runs,Evaluations_min,Evaluations_max,Best,Worst,Mean,Median,Distance_SD,Runtime_mean,Runtime_SD
10,GA,10,100000,100000,290.30677379181276,290.3067737918128,290.3067737918128,290.3067737918128,4.236858288208679e-14,10.333255179999833,1.6993611962670085
10,ILS,10,100000,100000,290.3067737918128,290.3067737918129,290.3067737918128,290.3067737918128,1.8947806286936004e-14,1.0805063600004359,0.4470502217431453
20,GA,10,100000,100000,386.42968948347,438.1616464918015,391.7210777044886,386.6266770171124,16.317816804499905,13.929247369999938,2.405013540492753
20,ILS,10,100000,100000,386.42968948346993,386.42968948347004,386.42968948347004,386.42968948347004,5.99182245303757e-14,2.669489530001738,0.8781245906277131
30,GA,10,100000,100000,451.7670007848984,483.335365468356,459.1460827790128,459.232502594477,9.311283021956676,14.776410880000185,1.2411599541898903
30,ILS,10,100000,100000,451.7670007848984,451.7670007848986,451.76700078489847,451.7670007848985,8.88730892223261e-14,3.391606549998687,0.5306219635508322
40,GA,10,100000,100000,489.73163751231,564.6133889640154,523.843258944396,518.3551743411606,28.142571255121,14.986030279999976,1.531970107723827
40,ILS,10,100000,100000,489.73163751231004,521.1483313276246,500.2963122602352,495.742595033823,11.749295136812425,3.5851431799994318,0.3413521437209819
50,GA,10,100000,100000,576.7547305721768,629.6636148728952,594.5713693901607,590.4933197156088,15.988440671198758,15.357771110002068,1.030733909791653
50,ILS,10,100000,100000,564.134820485183,599.1050626304858,579.7011983096497,580.74207543642,9.158051486644617,4.1979144700009785,0.2891048664597223
